     0          0.00136243
     1          0.00888735
     2          0.02981582
     3          0.06511606
     4          0.10741769
     5          0.14118834
     6          0.15520373
     7          0.14584017
     8          0.12253059
     9          0.08980383
    10          0.05898827
    11          0.03556200
    12          0.01958181
    13          0.01038224
    14          0.00486313
    15          0.00207519
    16          0.00086729
    17          0.00032169
    18          0.00011038
    19          0.00006308
    20          0.00001577
    21          0.00000315
