     0          0.00132143
     1          0.00889681
     2          0.02928914
     3          0.06396808
     4          0.10671755
     5          0.14206509
     6          0.15595118
     7          0.14639839
     8          0.12247067
     9          0.08995837
    10          0.05903873
    11          0.03577331
    12          0.01978680
    13          0.01011417
    14          0.00469913
    15          0.00217926
    16          0.00084837
    17          0.00034061
    18          0.00012300
    19          0.00003785
    20          0.00000631
    21          0.00001262
    23          0.00000315
