1 3
2 5
3 7
4 11
5 20
6 30
7 51
8 63
9 85
10 128
11 189
12 272
13 376
14 526
15 753
16 1025
17 1444
18 1979
19 2744
20 3847
21 5294
22 7309
23 9945
24 13331
25 17475
26 22753
27 29223
28 36857
29 45423
30 54494
31 63924
32 72964
33 81613
34 89248
35 95933
36 101738
37 105919
38 109969
39 112768
40 115096
41 116993
42 118640
43 119757
44 120786
45 121771
46 122262
47 122905
48 123228
49 123602
50 124031
51 124041
52 124284
53 124371
54 124419
55 124562
56 124747
57 124796
58 124697
59 124619
60 124725
61 124905
62 124955
63 125026
64 125230
65 125412
66 125304
67 125264
68 125332
69 125288
70 125208
71 125242
72 125111
73 125275
74 125353
75 125328
76 125366
77 125440
78 125448
79 125436
80 125322
81 125268
82 125432
83 125583
