1 94
2 218
3 413
4 604
5 837
6 1178
7 1609
8 2159
9 2861
10 3836
11 4966
12 6471
13 8212
14 10519
15 13151
16 16497
17 20485
18 24939
19 30135
20 35760
21 41789
22 47866
23 54085
24 60178
25 65878
26 71175
27 76078
28 80784
29 84792
30 88240
31 91542
32 94616
33 97382
34 99322
35 101335
36 103250
37 104550
38 105902
39 107210
40 108212
41 109065
42 109944
43 110656
44 111205
45 111778
46 112384
47 112708
48 113077
49 113446
50 113787
51 114212
52 114491
53 114479
54 114891
55 115131
56 115197
57 115534
58 115598
59 115573
60 115650
61 115686
62 115716
63 115924
64 115957
65 116232
66 116158
67 116151
68 116031
69 116239
70 116459
71 116469
72 116529
73 116438
74 116466
75 116494
76 116444
77 116557
78 116557
79 116469
80 116279
81 116143
82 116290
83 116445
